6.00,2017.00,103.00
2.00,2017.00,105.00
2.00,2017.00,101.00
9.00,2017.00,132.00
2.00,2017.00,119.00
2.00,2017.00,113.00
2.00,2017.00,104.00
6.00,2017.00,125.00
2.00,2017.00,120.00
7.00,2017.00,106.00
2.00,2017.00,106.00
2.00,2017.00,123.00
1.00,2017.00,100.00
2.00,2017.00,115.00
2.00,2017.00,123.00
2.00,2017.00,106.00
7.00,2017.00,129.00
9.00,2017.00,150.00
2.00,2017.00,120.00
2.00,2017.00,130.00
2.00,2017.00,93.00
1.00,2017.00,105.00
4.00,2017.00,102.00
2.00,2017.00,103.00
6.00,2017.00,107.00
1.00,2017.00,110.00
1.00,2017.00,106.00
1.00,2017.00,136.00
8.00,2017.00,139.00
3.00,2017.00,90.00
2.00,2017.00,115.00
2.00,2017.00,93.00
1.00,2017.00,110.00
5.00,2017.00,140.00
1.00,2018.00,98.00
7.00,2017.00,149.00
3.00,2017.00,109.00
3.00,2017.00,99.00
2.00,2017.00,114.00
2.00,2017.00,120.00
2.00,2017.00,100.00
2.00,2017.00,105.00
2.00,2017.00,114.00
1.00,2017.00,90.00
1.00,2017.00,88.00
2.00,2017.00,100.00
6.00,2017.00,125.00
7.00,2017.00,120.00
2.00,2018.00,102.00
1.00,2017.00,129.00
2.00,2017.00,111.00
2.00,2017.00,135.00
2.00,2017.00,95.00
18.00,2017.00,151.00
1.00,2017.00,124.00
6.00,2017.00,121.00
2.00,2017.00,113.00
2.00,2017.00,105.00
2.00,2017.00,129.00
2.00,2017.00,104.00
2.00,2017.00,133.00
1.00,2017.00,113.00
2.00,2017.00,124.00
6.00,2017.00,118.00
2.00,2017.00,102.00
1.00,2017.00,109.00
3.00,2017.00,128.00
2.00,2017.00,104.00
1.00,2017.00,94.00
2.00,2017.00,109.00
7.00,2017.00,89.00
2.00,2017.00,130.00
2.00,2017.00,83.00
8.00,2017.00,139.00
2.00,2017.00,119.00
1.00,2017.00,112.00
6.00,2018.00,53.00
6.00,2017.00,107.00
14.00,2016.00,106.00
6.00,2017.00,107.00
2.00,2017.00,108.00
1.00,2017.00,123.00
6.00,2017.00,94.00
1.00,2017.00,90.00
2.00,2017.00,91.00
2.00,2017.00,120.00
2.00,2017.00,120.00
10.00,2017.00,111.00
6.00,2017.00,95.00
1.00,2017.00,120.00
2.00,2017.00,163.00
3.00,2017.00,106.00
2.00,2017.00,96.00
1.00,2017.00,111.00
2.00,2017.00,109.00
2.00,2017.00,135.00
2.00,2017.00,163.00
1.00,2017.00,94.00
2.00,2017.00,120.00
1.00,2017.00,100.00
1.00,2017.00,107.00
3.00,2017.00,128.00
8.00,2017.00,132.00
3.00,2017.00,96.00
1.00,2017.00,100.00
6.00,2017.00,121.00
3.00,2017.00,101.00
2.00,2017.00,135.00
1.00,2017.00,120.00
2.00,2017.00,115.00
1.00,2017.00,117.00
2.00,2017.00,121.00
4.00,2017.00,108.00
6.00,2017.00,107.00
1.00,2017.00,120.00
11.00,2017.00,130.00
1.00,2017.00,123.00
6.00,2017.00,141.00
6.00,2017.00,116.00
6.00,2017.00,141.00
6.00,2017.00,115.00
2.00,2017.00,109.00
7.00,2017.00,103.00
8.00,2017.00,109.00
2.00,2017.00,111.00
2.00,2017.00,115.00
11.00,2017.00,130.00
2.00,2017.00,119.00
1.00,2017.00,123.00
2.00,2017.00,102.00
1.00,2017.00,93.00
8.00,2017.00,140.00
5.00,2017.00,137.00
2.00,2017.00,115.00
6.00,2017.00,106.00
1.00,2017.00,123.00
5.00,2017.00,137.00
17.00,2017.00,115.00
5.00,2017.00,93.00
2.00,2017.00,102.00
2.00,2017.00,115.00
1.00,2017.00,108.00
3.00,2017.00,101.00
8.00,2017.00,118.00
2.00,2017.00,115.00
7.00,2017.00,120.00
1.00,2017.00,108.00
2.00,2017.00,140.00
2.00,2017.00,109.00
6.00,2017.00,106.00
2.00,2017.00,90.00
6.00,2017.00,113.00
2.00,2017.00,140.00
7.00,2017.00,117.00
1.00,2017.00,110.00
1.00,2017.00,112.00
2.00,2017.00,0.11
1.00,2017.00,133.00
1.00,2017.00,101.00
2.00,2017.00,93.00
8.00,2017.00,137.00
2.00,2017.00,133.00
1.00,2017.00,100.00
3.00,2017.00,109.00
2.00,2017.00,92.00
1.00,2017.00,90.00
1.00,2017.00,110.00
2.00,2017.00,100.00
1.00,2017.00,133.00
1.00,2017.00,133.00
2.00,2017.00,129.00
2.00,2017.00,141.00
2.00,2017.00,149.00
6.00,2017.00,113.00
2.00,2017.00,107.00
2.00,2017.00,155.00
1.00,2017.00,129.00
2.00,2017.00,129.00
1.00,2017.00,109.00
1.00,2017.00,120.00
2.00,2017.00,90.00
2.00,2017.00,141.00
6.00,2017.00,98.00
3.00,2017.00,97.00
2.00,2017.00,89.00
